0.044	           0  0.000653445  0.000653445  0.000816806  0.000980168  0.000980168 -0.000653445 -0.000653445 -0.000642337 -0.000343385 -0.000121214     0.769196     0.341204     0.179149    -0.798612    -0.438217   -0.0336293       1.0353     0.586277    0.0376126     0.298423   -0.0428459     -1.92603   -0.0562124    -0.301823    -0.050208      1.93182	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	         0 -0.0235501 -0.0235501 -0.0294376 -0.0353251 -0.0353251  0.0235501  0.0235501  0.0231497  0.0123756 0.00436854   -2.42485  -0.316769   0.433177    2.49175    1.70061   0.252443   -2.49175   -2.11682   -1.27059   -1.00319    1.44251    2.49175    1.74198    1.11865    1.86466   -2.49175
0.048	           0  0.000771232  0.000771232   0.00096404   0.00115685   0.00115685 -0.000771232 -0.000771232 -0.000758121 -0.000405282 -0.000143064     0.763969     0.340517     0.179782    -0.799036    -0.438217   -0.0336293       1.0353     0.586277    0.0397168     0.298337   -0.0452513     -1.92603   -0.0640405    -0.302565    -0.051805      1.93306	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	         0 -0.0275476 -0.0275476 -0.0344345 -0.0413214 -0.0413214  0.0275476  0.0275476  0.0270793  0.0144763 0.00511008   -2.42437  -0.410917   0.320855    2.66852    1.80576    0.25573   -2.66852   -2.26371   -1.31885   -1.07745    1.49801    2.66852    1.94815    1.22251    1.87448   -2.66852
0.052	           0  0.000898581  0.000898581   0.00112323   0.00134787   0.00134787 -0.000898581 -0.000898581 -0.000883306 -0.000472205 -0.000166687     0.763936     0.340688     0.179972    -0.799036    -0.438217   -0.0336293       1.0353     0.586277    0.0416695     0.298253   -0.0474837     -1.92603   -0.0678264    -0.302377   -0.0561282      1.93306	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	         0 -0.0318132 -0.0318132 -0.0397665 -0.0477198 -0.0477198  0.0318132  0.0318132  0.0312724  0.0167178 0.00590135   -2.60378  -0.535123   0.230274    2.83836    1.90678   0.258889   -2.83836   -2.40483   -1.36004   -1.14883    1.54542    2.83836    2.04681    1.28579     1.9925   -2.83836
0.056	           0   0.00103545   0.00103545   0.00129432   0.00155318   0.00155318  -0.00103545  -0.00103545  -0.00101785 -0.000544132 -0.000192077     0.763923     0.340754     0.180044    -0.799036    -0.441978   -0.0346409      1.03586     0.589821    0.0434816      0.29817   -0.0495554     -1.92603   -0.0753339    -0.302865   -0.0565351      1.93373	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	         0 -0.0363387 -0.0363387 -0.0454233  -0.054508  -0.054508  0.0363387  0.0363387  0.0357209   0.019096 0.00674082   -2.77616  -0.650317   0.147816    3.00154    2.10649   0.301986   -3.00154   -2.58501   -1.39481   -1.21747    1.58549    3.00154    2.24102    1.37324     1.9525   -3.00154
0.06	           0   0.00118181   0.00118181   0.00147727   0.00177272   0.00177272  -0.00118181  -0.00118181  -0.00116172 -0.000621043 -0.000219227     0.763918     0.340779     0.180072    -0.799036    -0.442265   -0.0344715       1.0355     0.589821    0.0451632     0.298091   -0.0514779     -1.92603   -0.0784617    -0.302696   -0.0601068      1.93373	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	         0  -0.041116  -0.041116 -0.0513951 -0.0616741 -0.0616741   0.041116   0.041116  0.0404171  0.0216065 0.00762703   -2.94178  -0.759417  0.0703336    3.15832    2.20853   0.297017   -3.15832   -2.71492   -1.42377   -1.28349    1.61889    3.15832    2.30656    1.43146    2.03955   -3.15832
0.064	           0   0.00133762   0.00133762   0.00167203   0.00200643   0.00200643  -0.00133762  -0.00133762  -0.00131488  -0.00070292 -0.000248129     0.759128     0.338105     0.177931    -0.799232    -0.441223   -0.0350886      1.03681     0.589821    0.0467237     0.298014    -0.053262     -1.92603   -0.0859057    -0.303059    -0.059352        1.934	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	         0 -0.0461376 -0.0461376 -0.0576721 -0.0692065 -0.0692065  0.0461376  0.0461376  0.0453533  0.0242453 0.00855853   -2.93627  -0.757379   0.081749    3.30895    2.25411   0.323327   -3.30895   -2.83974   -1.44745   -1.34701    1.64625    3.30895    2.49059    1.50842    1.95326   -3.30895
0.068	           0   0.00150284   0.00150284   0.00187855   0.00225426   0.00225426  -0.00150284  -0.00150284  -0.00147729 -0.000789742 -0.000278777     0.759261     0.337409     0.177163    -0.799232    -0.440869   -0.0352981      1.03725     0.589821    0.0481718      0.29794   -0.0549176     -1.92603   -0.0884142    -0.302917   -0.0622167        1.934	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	         0 -0.0513961 -0.0513961 -0.0642451 -0.0770941 -0.0770941  0.0513961  0.0513961  0.0505224  0.0270086 0.00953398   -3.09561  -0.832669   0.039189    3.45368    2.32469   0.332704   -3.45368   -2.95966   -1.46636   -1.40812    1.66815    3.45368    2.52596    1.56247    2.01339   -3.45368
0.072	           0   0.00167743   0.00167743   0.00209679   0.00251614   0.00251614  -0.00167743  -0.00167743  -0.00164891 -0.000881489 -0.000311163     0.759312     0.337143      0.17687    -0.799232    -0.440748   -0.0353694       1.0374     0.589821    0.0495608     0.297867   -0.0565057     -1.92603   -0.0958719    -0.303239   -0.0603074      1.93398	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	         0 -0.0568843 -0.0568843 -0.0711054 -0.0853265 -0.0853265  0.0568843  0.0568843  0.0559173  0.0298927   0.010552    -3.2487  -0.921788 -0.0202098    3.59273    2.40163   0.336322   -3.59273   -3.07488   -1.48276   -1.46684    1.68717    3.59273    2.70139    1.63272    1.88323   -3.59273
0.076	           0   0.00186135   0.00186135   0.00232669   0.00279203   0.00279203  -0.00186135  -0.00186135  -0.00182971 -0.000978141 -0.000345281     0.754292     0.336641     0.176901    -0.799307    -0.440707   -0.0353936      1.03746     0.589821    0.0508496     0.297797   -0.0579793     -1.92603    -0.101635    -0.303432   -0.0594503      1.93387	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	         0 -0.0625954 -0.0625954 -0.0782443 -0.0938932 -0.0938932  0.0625954  0.0625954  0.0615313  0.0328939  0.0116115   -3.22024  -0.997985 -0.0900131    3.72634    2.47865   0.337965   -3.72634   -3.18559    -1.4951   -1.52336    1.70153    3.72634    2.86129    1.69525    1.79909   -3.72634
0.08	           0   0.00205457   0.00205457   0.00256822   0.00308186   0.00308186  -0.00205457  -0.00205457  -0.00201964  -0.00107968 -0.000381123     0.754276     0.336723     0.176992    -0.799307    -0.440693   -0.0354019      1.03747     0.589821    0.0540282     0.299971   -0.0576845      -1.9296    -0.103513    -0.303325   -0.0615957      1.93387	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	         0 -0.0685229 -0.0685229 -0.0856537  -0.102784  -0.102784  0.0685229  0.0685229   0.067358  0.0360088   0.012711   -3.36845    -1.0941  -0.159426     3.8547    2.55371   0.338918    -3.8547   -3.29195   -1.58229   -1.66649    1.64587     3.8547    2.86333    1.74353    1.83682    -3.8547
